chrom,start,end,strand,phyloP,phastCons,lowercase
20,56370207,56370335,+,"[ 1.177e+00 -1.526e+00  8.903e+00  4.291e+00  2.270e-01  7.716e+00
  4.777e+00 -1.607e+00  3.111e+00  1.321e+00  6.000e-01 -1.000e-01
  2.480e+00  2.180e-01  7.340e+00  8.760e-01  7.759e+00  7.759e+00
  9.150e+00  1.440e-01  9.813e+00  7.980e+00  1.333e+00  7.869e+00
  9.813e+00 -1.150e-01  1.831e+00  1.168e+00 -4.248e+00  7.193e+00
  2.556e+00 -2.394e+00  9.150e+00  2.685e+00 -6.340e-01  2.929e+00
  3.218e+00 -1.130e-01  1.724e+00  9.390e-01 -2.096e+00  9.150e+00
  2.909e+00 -3.320e-01  5.566e+00  4.069e+00 -1.538e+00  3.719e+00
  4.819e+00 -1.830e-01  7.759e+00  1.433e+00 -1.900e+00  2.502e+00
  3.778e+00  1.830e+00  8.410e-01  2.130e+00 -6.400e-02  9.813e+00
  4.416e+00  1.650e-01  3.310e+00  4.898e+00  9.800e-01  7.869e+00
  8.005e+00  2.350e-01  1.741e+00  2.582e+00  4.500e-01  9.150e+00
  1.162e+00 -4.710e-01  9.150e+00  4.025e+00  1.423e+00  1.238e+00
  4.910e+00 -3.580e-01  4.522e+00  1.723e+00  1.460e-01  9.150e+00
  3.312e+00  9.940e-01  9.150e+00  1.544e+00  2.425e+00  7.869e+00
  7.759e+00  4.410e-01  1.010e+00  1.232e+00 -4.460e-01  7.785e+00
  4.711e+00  1.860e-01  5.980e+00  7.725e+00  9.600e-02  2.468e+00
  2.648e+00 -1.095e+00  4.103e+00  3.810e-01 -9.000e-03  9.107e+00
  1.851e+00  3.130e-01  8.920e-01  1.360e+00 -1.860e-01  2.096e+00
  1.153e+00  1.277e+00  9.767e+00  7.855e+00  2.121e+00  2.016e+00
  7.253e+00 -1.980e+00  1.735e+00  1.277e+00  3.160e-01  1.046e+00
  5.270e+00 -3.500e-02]","[0.707 0.01  1.    1.    0.992 1.    1.    0.002 0.782 0.715 0.551 0.497
 0.915 0.908 1.    1.    1.    1.    1.    0.987 1.    1.    1.    1.
 1.    0.073 0.088 0.049 0.    1.    0.997 0.    1.    0.988 0.264 0.943
 0.94  0.046 0.062 0.043 0.    1.    1.    0.362 1.    1.    0.001 0.999
 1.    0.596 0.997 0.954 0.001 0.996 1.    1.    0.998 0.997 0.942 1.
 1.    0.963 1.    1.    1.    1.    1.    0.977 1.    1.    0.994 1.
 0.842 0.064 1.    1.    1.    1.    1.    0.498 0.997 0.971 0.84  1.
 1.    1.    1.    1.    1.    1.    1.    0.311 0.286 0.253 0.036 1.
 1.    0.991 1.    1.    0.967 0.997 0.993 0.002 0.765 0.514 0.486 0.999
 0.924 0.017 0.013 0.012 0.007 0.788 0.787 0.99  1.    1.    1.    1.
 1.    0.    0.793 0.812 0.803 0.886 0.996 0.95 ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
8,91080622,91080750,+,"[ 3.324 -1.884  1.622  2.777  1.865 -0.179 -0.595  1.505  0.96   0.855
  0.195  0.28   0.793  2.608 -0.028 -0.321  1.146  2.911 -0.85   0.162
  0.354 -0.778  0.424 -1.561  2.143 -0.324 -0.15   4.656  0.416  3.179
  0.797  0.936  0.324  0.117  1.468 -1.899  2.047  3.419  0.102  1.491
  1.2    0.05  -0.547  1.215  8.085  8.672  6.261  0.123  8.672  6.328
  1.953  6.943  6.943  5.27   3.189  2.155  1.204  8.085  8.085  0.026
  6.943  8.085  2.089  6.943  8.672  1.11   2.642  1.817 -0.204  8.672
  8.085  0.603  2.916  4.214  1.157  5.632  2.256  0.785  4.783  6.339
  1.976  8.085  6.848  2.643  5.59   6.848  1.519  5.663  5.177 -1.197
  6.943  8.672  8.672  8.672  8.672  0.16   8.672  8.672  0.192  6.848
  8.085  1.358  3.863  6.943  0.496  8.672  8.085  3.765  8.672  5.274
  2.873  5.148  8.672  1.097  0.348  0.449  0.358  1.512 -0.99   0.748
  0.753  1.113  0.344  0.59   0.839  0.34   0.403 -0.702]","[0.1   0.003 0.711 0.827 0.778 0.135 0.005 0.065 0.074 0.076 0.071 0.104
 0.183 0.206 0.025 0.001 0.073 0.108 0.    0.    0.    0.    0.    0.
 0.078 0.001 0.013 0.994 0.994 0.998 0.963 0.342 0.209 0.149 0.144 0.004
 0.705 0.968 0.111 0.117 0.079 0.005 0.001 0.61  1.    1.    1.    0.982
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.937
 1.    1.    1.    1.    1.    1.    1.    0.983 0.797 1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    0.004 1.    1.    1.    1.    1.    0.983
 1.    1.    0.994 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    0.903 0.32  0.225 0.191 0.185 0.    0.002
 0.026 0.025 0.007 0.006 0.005 0.001 0.    0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
5,146480667,146480795,+,"[ 0.73   0.881  3.586  1.704  0.239  2.188  1.117  3.199  0.927  3.199
  3.286  1.211  1.51   1.146  1.859  2.369  2.628  1.134  0.965  1.616
  1.034  1.471  0.608  0.319  0.725  2.377  2.386  2.386  0.191  0.262
  0.952  1.716  1.004  1.357  0.424  0.612  0.781 -0.795 -0.58  -0.161
 -0.191  0.917 -0.505  0.702  0.542  1.03   0.711 -1.2    0.558 -0.78
  3.129  1.016  0.286  0.07   0.609 -0.392  0.92   1.881 -0.535 -0.924
  0.308  2.318  0.695  1.164  0.331  0.089  1.053  0.29   0.797  0.126
 -0.438  0.804 -0.012  0.808  1.557  0.929  0.631  1.04   1.798  3.836
  0.623  2.336  4.078  0.591  1.099  1.905  2.593  2.412  1.547  3.286
  1.808  0.086  1.523  1.792  1.897  1.182  1.     0.085  0.107  1.91
  3.263  1.001  1.727  2.397  0.582  0.031  0.273  2.147  0.31  -0.24
 -0.129  0.475  3.621  0.606 -0.685  2.29   0.626  1.061  0.999  0.469
 -0.05   0.192 -0.322  1.469  0.95  -0.674  0.015  0.609]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.998 0.998
 1.    1.    1.    1.    0.996 0.996 0.998 0.999 0.99  0.943 0.691 0.567
 0.342 0.001 0.    0.    0.    0.001 0.    0.011 0.014 0.017 0.013 0.
 0.    0.    0.484 0.468 0.361 0.309 0.306 0.002 0.007 0.014 0.    0.
 0.112 0.292 0.293 0.281 0.164 0.118 0.117 0.085 0.068 0.016 0.01  0.063
 0.079 0.692 0.896 0.922 0.934 0.952 1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.997 1.    1.    0.998 0.963
 0.811 0.458 0.438 0.995 1.    1.    1.    0.998 0.845 0.608 0.392 0.397
 0.073 0.008 0.008 0.079 0.22  0.203 0.094 0.301 0.304 0.299 0.235 0.088
 0.004 0.001 0.    0.004 0.003 0.    0.    0.003]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
5,65551471,65551599,+,"[-9.600e-01 -4.160e-01  3.115e+00  1.210e-01  7.930e-01  5.680e-01
 -1.505e+00 -8.860e-01  5.130e-01  6.100e-02 -3.920e-01  5.970e-01
  1.055e+00  1.030e-01  1.170e-01  1.121e+00  1.412e+00  7.800e-01
  7.450e-01 -7.200e-01  1.060e+00  2.004e+00 -1.250e-01  4.890e-01
  1.483e+00 -1.420e-01 -1.500e-01  5.800e-01  9.170e-01  2.570e-01
 -4.500e-01  2.848e+00 -3.790e-01  1.254e+00  2.810e-01  1.183e+00
  2.394e+00  7.530e-01  8.280e-01  1.980e-01  1.335e+00 -7.370e-01
 -7.300e-02  3.180e-01 -5.240e-01 -3.380e-01 -1.360e-01  2.470e-01
  5.840e-01  2.400e-01  2.046e+00  7.460e-01  9.080e-01 -1.940e-01
  3.000e-03 -7.600e-02 -2.720e-01 -1.052e+00  3.550e-01  9.810e-01
 -4.040e-01  1.500e+00  3.200e-01  9.920e-01  1.440e+00 -2.870e-01
 -3.600e-02 -3.890e-01  4.030e-01 -1.318e+00  2.200e+00  1.399e+00
  4.640e-01 -1.379e+00 -1.100e-01 -2.600e-02  1.730e-01  2.425e+00
  2.156e+00  8.250e-01  2.700e-01  1.369e+00  1.355e+00 -1.390e-01
  1.992e+00  2.870e-01  9.200e-02  3.954e+00  4.005e+00  4.005e+00
  4.680e+00  3.954e+00  1.674e+00  2.575e+00  1.741e+00  3.970e-01
  7.620e-01  2.544e+00  3.460e+00  6.370e-01  5.030e-01  4.005e+00
  4.005e+00  5.910e-01  2.940e-01  1.716e+00  1.122e+00  2.530e+00
 -3.270e-01  1.743e+00  2.477e+00  3.954e+00  2.484e+00  4.680e+00
 -2.100e-01  4.005e+00  5.017e+00  2.224e+00 -2.400e-01  1.668e+00
  2.640e-01  1.102e+00  2.499e+00  7.230e-01  4.005e+00  3.954e+00
  4.720e-01  3.427e+00]","[0.    0.004 0.057 0.005 0.005 0.003 0.    0.    0.003 0.004 0.035 0.138
 0.194 0.204 0.389 0.493 0.522 0.516 0.483 0.375 0.494 0.488 0.117 0.08
 0.079 0.001 0.    0.001 0.002 0.001 0.001 0.17  0.162 0.533 0.572 0.766
 0.825 0.81  0.81  0.001 0.016 0.    0.    0.    0.    0.    0.004 0.032
 0.039 0.058 0.109 0.096 0.082 0.    0.    0.    0.    0.    0.    0.001
 0.    0.009 0.007 0.01  0.011 0.003 0.    0.    0.001 0.    0.041 0.038
 0.011 0.    0.    0.001 0.008 0.062 0.533 0.532 0.528 0.789 0.778 0.718
 0.78  0.774 0.799 0.999 1.    1.    1.    1.    1.    1.    1.    0.998
 0.999 1.    1.    1.    1.    1.    1.    1.    0.999 1.    1.    1.
 0.936 0.998 1.    1.    1.    1.    0.982 1.    1.    0.998 0.958 0.99
 0.99  0.997 1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
9,14317072,14317200,+,"[ 2.533e+00  1.638e+00  1.296e+00  1.174e+00  3.300e-01 -4.200e-02
  5.370e-01  1.592e+00  1.241e+00  4.475e+00  7.570e-01  1.217e+00
  5.070e-01  4.760e-01  2.980e+00  1.642e+00  3.126e+00  1.444e+00
  1.190e+00  3.000e-02  1.539e+00  1.174e+00  2.980e-01  2.534e+00
 -2.900e-02  1.120e+00  7.780e-01  1.905e+00  7.410e-01  1.701e+00
  3.989e+00  1.151e+00  6.880e-01  3.350e-01  1.929e+00  3.537e+00
  1.105e+00  2.650e-01  5.990e-01  8.400e-01  6.240e-01  5.870e-01
  1.345e+00  1.158e+00  1.745e+00  1.280e+00  1.667e+00  1.722e+00
  1.562e+00  7.320e-01  1.130e+00 -6.360e-01  1.099e+00  2.304e+00
  6.270e-01  2.300e-02  1.403e+00  1.601e+00 -1.910e-01  8.730e-01
  9.810e-01  6.500e-01  1.793e+00  1.714e+00  1.804e+00  5.430e-01
  1.091e+00  4.293e+00  1.596e+00  9.380e-01  2.070e+00  5.790e-01
  1.448e+00  1.487e+00  2.100e-02  1.188e+00  1.587e+00  2.754e+00
  1.622e+00  6.370e-01 -4.290e-01 -4.550e-01 -1.032e+00  3.600e-02
  3.330e-01 -3.320e-01 -5.120e-01  8.340e-01  9.500e-02  8.300e-02
  1.870e+00  3.890e-01  4.690e-01  2.310e-01  2.540e-01  8.860e-01
  1.124e+00 -4.750e-01 -5.400e-02 -4.500e-02 -1.330e-01  3.000e-03
 -5.550e-01 -1.500e-01  3.380e-01  1.052e+00 -2.030e-01 -9.400e-02
 -7.600e-02  1.220e-01  6.560e-01  2.730e-01  1.470e-01  2.061e+00
  1.247e+00  1.830e-01  7.660e-01  2.020e+00  1.566e+00  1.115e+00
  4.800e-01  3.897e+00  1.902e+00  3.897e+00  1.604e+00  1.627e+00
 -3.900e-02 -9.890e-01]","[1.    1.    0.999 0.994 0.975 0.969 0.985 0.994 1.    1.    1.    0.998
 0.997 0.998 1.    1.    1.    1.    0.997 0.992 0.998 0.999 0.996 0.998
 0.95  0.988 0.997 1.    1.    1.    1.    1.    0.999 0.999 1.    1.
 0.938 0.056 0.039 0.029 0.017 0.011 0.975 0.994 1.    1.    1.    1.
 0.994 0.949 0.92  0.684 0.84  0.864 0.835 0.731 0.95  0.952 0.899 0.969
 0.988 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.995 0.999 1.    1.    0.95  0.52  0.002 0.    0.    0.001
 0.001 0.    0.    0.001 0.    0.001 0.01  0.006 0.003 0.001 0.005 0.008
 0.007 0.    0.    0.    0.    0.    0.    0.    0.001 0.002 0.    0.
 0.001 0.019 0.158 0.273 0.633 0.98  0.988 0.987 0.994 0.998 1.    1.
 1.    1.    1.    1.    0.988 0.889 0.032 0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
11,128408156,128408284,+,"[-0.601  0.633 -0.356 -0.168 -0.344 -0.091 -0.087  0.649 -0.141  1.159
 -1.195 -0.557 -2.982  0.395  1.146  0.312  0.288  0.761  0.297  0.296
  0.315  0.064  0.529  0.537  0.67   2.266 -1.27   0.061  0.291  0.309
  0.116 -0.082  0.034  0.934  0.523 -0.124  0.756 -0.105 -0.266  0.095
 -1.13   0.294  1.117  1.172  0.363  2.578  3.219  1.881  0.07   1.847
 -0.082 -0.     0.65   0.578 -0.896  0.346  1.833  1.88   1.663  3.761
  1.197  2.36   2.384  1.536  1.791  0.32  -0.094 -0.017  1.836  1.179
  1.119  1.855  0.016 -0.193  0.844  0.253  0.662  0.284  0.105  0.088
  0.367 -0.105  0.579  0.684 -0.34   0.69   1.204 -0.309  0.342  0.106
 -0.836  1.863  1.2    0.487  0.067 -0.126  1.811  1.102  0.64  -0.125
  0.017  0.496 -0.057  1.852  0.598  1.626  1.141  0.495  1.139  2.225
  1.492  1.8    0.676  0.633  0.674  3.2    0.289  0.07   0.463  1.9
  1.868  0.411  0.964  1.576  2.382  3.787  0.285  3.2  ]","[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.002 0.    0.
 0.    0.004 0.011 0.008 0.007 0.007 0.004 0.004 0.004 0.007 0.032 0.065
 0.119 0.143 0.    0.    0.    0.    0.    0.    0.    0.001 0.001 0.
 0.001 0.    0.    0.    0.    0.338 0.901 0.976 0.984 1.    1.    0.986
 0.604 0.533 0.022 0.005 0.005 0.004 0.003 0.344 0.953 0.998 1.    1.
 1.    1.    1.    0.999 0.989 0.673 0.56  0.572 0.969 0.984 0.985 0.979
 0.038 0.01  0.011 0.009 0.012 0.002 0.001 0.001 0.001 0.    0.    0.001
 0.    0.006 0.008 0.    0.    0.    0.    0.03  0.028 0.012 0.004 0.002
 0.626 0.58  0.403 0.051 0.042 0.063 0.102 0.95  0.982 1.    1.    1.
 1.    1.    1.    1.    1.    0.998 0.998 0.997 0.921 0.916 0.96  0.998
 1.    0.998 1.    1.    1.    1.    0.998 1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
4,182271269,182271397,+,"[ 0.687  3.315 -0.27  -0.027  1.231  1.26  -0.073  0.708  1.191 -0.417
  0.081  0.831  0.127  2.74   0.729  0.052 -0.352  0.315  0.412  0.76
 -0.285  0.678  2.503  3.923  0.782  0.393  0.402  0.129  1.953  3.356
  0.404  0.736  1.966  0.136  1.217  1.828  2.487  0.713  2.504  1.252
 -0.048 -0.038  1.133  1.221  1.213  3.245  1.232  0.719 -1.865  0.124
  2.749  1.83   2.647  1.24   1.128  0.045  1.235  1.234  2.504  0.395
  1.966  1.68   1.581  2.001  3.356 -0.029 -0.189 -0.55   1.669  0.29
  1.71   2.754  0.412  0.098  1.961  1.964 -0.209  0.35   2.751  1.19
  3.356  1.244  0.714  1.9    4.203  2.647  3.356  3.251  1.706 -1.506
  1.135  1.707  1.807  0.667  0.134 -0.033 -0.231  1.16   0.363 -0.636
 -1.478  1.064  0.387  1.307  0.396  3.489  0.696  0.073 -0.579  0.327
  2.469  0.398  1.864  0.332  0.8   -0.043 -0.315 -0.637 -0.132  0.644
 -0.391 -0.82  -1.138 -0.853 -1.327 -0.242 -0.528  0.185]","[0.161 0.196 0.003 0.005 0.036 0.037 0.012 0.015 0.015 0.    0.003 0.044
 0.175 0.242 0.153 0.02  0.001 0.004 0.01  0.018 0.02  0.457 0.98  0.996
 0.989 0.97  0.959 0.961 0.999 1.    1.    1.    1.    0.998 1.    1.
 1.    1.    1.    0.992 0.921 0.921 0.978 0.997 1.    0.999 0.971 0.706
 0.007 0.069 0.994 1.    1.    1.    1.    0.998 1.    1.    1.    1.
 1.    1.    1.    1.    0.992 0.048 0.003 0.003 0.586 0.647 0.96  0.989
 0.977 0.975 0.99  0.989 0.952 0.977 1.    1.    1.    1.    1.    1.
 1.    1.    1.    0.998 0.908 0.024 0.296 0.387 0.391 0.185 0.013 0.001
 0.    0.005 0.003 0.    0.    0.145 0.201 0.292 0.293 0.309 0.155 0.024
 0.01  0.128 0.66  0.674 0.735 0.607 0.002 0.    0.    0.    0.    0.002
 0.    0.    0.    0.    0.    0.    0.    0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
X,150755606,150755734,+,"[ 6.050e-01  3.290e-01  3.360e-01  7.590e-01  2.980e-01  3.300e-02
  3.380e-01 -1.230e-01 -8.550e-01  1.330e-01  6.160e-01  1.690e-01
 -5.100e-02  2.000e-02  1.231e+00 -1.516e+00 -3.700e-01 -1.449e+00
 -7.960e-01 -4.830e-01 -1.455e+00  3.100e-02  3.510e-01  3.740e-01
 -6.290e-01 -6.780e-01 -4.930e-01 -4.500e-02  6.080e-01  4.700e-02
  3.210e-01 -7.300e-02  4.330e-01 -1.860e-01  4.980e-01 -1.000e-03
 -1.450e-01  2.230e-01 -9.680e-01  2.820e-01 -1.636e+00 -2.700e-02
  3.420e-01  1.710e-01  1.295e+00 -1.630e-01 -8.900e-02  7.540e-01
 -1.560e-01 -1.150e-01  2.610e-01  9.900e-02  2.440e-01  1.850e+00
  5.250e-01  6.410e-01  8.230e-01  8.000e-03  3.740e-01 -5.533e+00
 -8.410e-01  5.940e-01  1.050e-01  3.200e-02  2.240e-01  7.710e-01
 -1.670e-01 -5.800e-02  7.510e-01  1.450e-01  7.180e-01  8.790e-01
  1.920e-01 -2.840e-01  1.561e+00  9.800e-01  3.970e-01  1.236e+00
 -7.000e-02  2.356e+00  5.635e+00  7.771e+00  9.602e+00  5.978e+00
  1.362e+00 -1.744e+00  7.674e+00 -3.200e-01  4.700e-02  3.480e-01
 -5.470e-01  2.771e+00  2.286e+00  1.030e-01  8.947e+00  1.569e+00
  3.913e+00  8.947e+00  5.794e+00 -5.300e-02  4.700e-02  5.939e+00
  6.200e-02  7.674e+00  7.568e+00 -1.386e+00 -8.580e-01  7.674e+00
  1.980e-01  7.674e+00  9.602e+00  9.602e+00  7.674e+00  7.568e+00
 -2.937e+00  7.674e+00  5.842e+00 -1.870e+00  3.528e+00  5.955e+00
  3.450e-01  8.947e+00  5.821e+00  9.280e-01  8.947e+00  9.602e+00
  7.930e-01  7.568e+00]","[0.001 0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.001 0.001
 0.    0.    0.002 0.    0.    0.    0.    0.    0.    0.    0.001 0.004
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.    0.    0.    0.    0.002 0.    0.    0.001
 0.    0.    0.    0.    0.005 0.033 0.02  0.017 0.012 0.    0.    0.
 0.    0.    0.    0.    0.001 0.001 0.    0.    0.    0.    0.004 0.005
 0.    0.    0.164 0.169 0.033 0.038 0.031 0.985 1.    1.    1.    1.
 0.942 0.    0.972 0.    0.    0.    0.    0.812 0.824 0.762 1.    1.
 1.    1.    1.    0.035 0.036 0.99  0.882 1.    1.    0.    0.    1.
 0.981 1.    1.    1.    1.    1.    0.    1.    1.    0.    0.997 1.
 0.992 1.    1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
12,54588320,54588448,+,"[-6.980e-01  2.080e-01  1.669e+00  6.310e-01 -1.423e+00  1.587e+00
  5.860e-01  6.170e-01 -1.470e-01 -1.500e-01  4.890e-01 -6.200e-02
 -3.452e+00 -5.300e-02  2.337e+00  1.960e-01 -1.510e-01 -8.040e-01
  7.230e-01  1.009e+00 -5.210e-01 -8.200e-01  1.690e-01 -4.580e-01
  2.740e-01 -7.230e-01 -6.090e-01 -7.380e-01 -7.480e-01  1.786e+00
  6.740e-01  2.150e-01 -2.300e-02 -1.280e-01 -1.190e-01  1.095e+00
  6.590e-01 -2.134e+00 -1.728e+00  3.570e-01  8.030e-01  1.286e+00
  1.550e-01  3.380e-01 -2.984e+00 -2.645e+00  1.139e+00  3.420e-01
 -1.330e+00 -5.000e-03  4.050e-01 -4.320e-01  1.900e-02  1.665e+00
  5.270e-01  1.930e-01 -1.290e-01 -4.360e-01  1.175e+00  1.550e-01
  2.570e-01 -2.535e+00  8.190e-01  2.827e+00 -6.710e-01  2.765e+00
  2.924e+00  9.400e-01  1.534e+00  1.615e+00  3.140e-01  4.072e+00
  2.547e+00  1.492e+00  1.000e-03  2.141e+00  2.630e-01 -6.000e-03
  2.944e+00  2.123e+00  6.000e-03  9.940e-01  2.705e+00  2.167e+00
  4.547e+00  4.692e+00  4.136e+00  1.047e+00  3.152e+00  3.112e+00
 -2.198e+00  4.136e+00  2.042e+00  6.900e-02  5.805e+00  3.076e+00
  3.099e+00  2.222e+00  2.188e+00 -2.570e-01  5.805e+00  4.171e+00
  7.880e-01  1.559e+00  4.629e+00  1.310e-01  2.057e+00  2.257e+00
  1.594e+00  4.692e+00  5.805e+00 -2.120e-01  4.091e+00  2.225e+00
  1.407e+00  2.166e+00  3.023e+00  6.170e-01  3.781e+00  3.180e+00
  3.250e-01  2.060e+00  3.166e+00  3.300e-02  4.135e+00  3.117e+00
  3.350e-01  2.814e+00]","[0.    0.004 0.016 0.009 0.001 0.064 0.03  0.02  0.    0.    0.    0.
 0.    0.001 0.025 0.009 0.    0.    0.001 0.002 0.    0.    0.    0.
 0.001 0.    0.    0.    0.    0.048 0.038 0.01  0.001 0.    0.    0.003
 0.003 0.    0.    0.005 0.01  0.01  0.002 0.001 0.    0.    0.005 0.001
 0.    0.    0.001 0.    0.003 0.089 0.053 0.034 0.    0.    0.001 0.
 0.    0.    0.135 0.64  0.549 0.987 1.    1.    1.    1.    1.    1.
 1.    0.996 0.991 0.994 0.972 0.969 0.995 0.993 0.874 0.958 1.    1.
 1.    1.    1.    1.    1.    0.989 0.021 0.999 0.999 0.973 1.    1.
 1.    1.    0.999 0.971 1.    1.    1.    1.    1.    0.994 1.    1.
 1.    1.    1.    0.979 1.    1.    1.    1.    1.    1.    1.    1.
 0.999 1.    1.    0.993 1.    1.    0.995 0.993]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
1,20851275,20851403,+,"[ 5.303 -0.152  4.187  2.143  1.594  5.396  6.921 -2.039  3.517  0.409
  0.135  4.098  4.96  -1.965  3.037 -2.36   0.97   0.223  3.924  2.927
 -0.368  1.107 -0.027  3.718  1.568 -1.812  3.783  5.284  0.039  1.959
 -3.612 -2.012  4.055  6.992  0.256  3.406 -0.306  2.804  1.143  4.143
 -0.628  2.977  3.089 -0.91   5.654  5.169 -2.274  4.332  2.557  1.478
  4.972  6.668 -1.153  7.09   5.105  0.641  5.153  4.054 -7.881  5.487
  2.037  1.581  7.09   2.591 -3.323  4.094  3.984  4.106  3.466  4.561
  1.779  7.09   5.232  0.09   5.252  1.934 -0.46   3.245  4.833 -0.489
  2.439  4.403  0.872  5.273  6.992  0.35   7.09   6.992 -0.512  3.994
  8.473 -0.547  2.849  2.557  2.609  2.079  8.851  2.11   2.779  4.065
  2.938  3.459  5.297  0.017  5.082  1.916  0.717  4.089  1.757  1.533
  7.09   6.992  0.245  7.09   7.09   0.548  2.672  3.271  3.274  5.223
  4.272  0.505  4.988 -0.363  0.073  3.803  4.978  0.725]","[0.978 0.908 1.    1.    1.    1.    1.    0.    0.856 0.768 0.749 1.
 1.    0.    0.194 0.    0.034 0.306 0.998 0.997 0.006 0.01  0.01  0.592
 0.57  0.005 0.994 0.994 0.184 0.176 0.    0.    1.    1.    0.985 0.992
 0.268 0.996 0.996 0.996 0.376 0.905 0.905 0.009 1.    1.    0.    1.
 1.    1.    1.    1.    0.012 1.    1.    1.    1.    0.998 0.    1.
 1.    1.    1.    0.984 0.    0.999 1.    1.    1.    1.    1.    1.
 1.    0.984 1.    0.992 0.321 0.996 1.    0.298 0.996 1.    1.    1.
 1.    0.997 1.    1.    0.281 1.    1.    0.171 0.999 1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.941 1.    1.    1.    1.
 1.    1.    1.    1.    0.996 1.    1.    1.    1.    1.    1.    1.
 1.    0.997 0.998 0.037 0.057 0.998 1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
